Benevolence,Universal,Self-direction,Stimulation,Hedonism,Achievement ,Power,Security,Conformity,Tradition,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
1.0,1.0,1.0,0.9,0.9,0.9,0.4,0.8,0.9,1.0,0.625,0.889,0.469,0.75,0.375
0.6,1.0,0.8,0.7,0.5,0.4,0.2,0.5,0.6,0.9,0.7,0.722,0.531,0.694,0.469
0.9,0.867,0.9,0.9,0.6,0.9,0.4,0.8,0.9,0.8,0.65,0.389,0.562,0.528,0.5
0.9,0.667,0.4,0.3,0.6,0.8,0.6,0.7,0.4,0.9,0.75,0.611,0.531,0.833,0.375
0.9,0.733,0.9,0.8,0.8,0.7,0.4,0.6,0.8,1.0,0.65,0.667,0.5,0.778,0.25
0.9,0.533,0.8,0.5,0.7,0.4,0.9,0.8,0.7,1.0,0.575,0.694,0.5,0.583,0.406
0.6,0.533,0.7,0.7,0.5,0.8,0.5,0.8,0.6,0.8,0.5,0.389,0.406,0.556,0.531
0.9,0.733,1.0,0.8,0.8,1.0,0.4,0.9,0.6,0.7,0.6,0.639,0.5,0.667,0.438
0.8,0.733,0.8,0.7,0.7,0.9,0.7,0.9,0.9,0.9,0.6,0.889,0.5,0.694,0.469
1.0,0.933,0.9,0.7,1.0,0.2,0.7,0.7,0.1,0.6,0.725,0.333,0.75,0.806,0.156
0.7,0.6,0.9,0.5,1.0,0.4,0.3,0.5,0.4,0.8,0.6,0.444,0.5,0.5,0.5
0.9,0.867,0.8,0.9,0.9,0.9,0.5,0.8,0.8,0.8,0.675,0.639,0.594,0.694,0.531
1.0,0.933,0.6,0.9,1.0,0.9,1.0,0.8,1.0,1.0,0.425,0.361,0.344,0.611,0.438
0.7,0.933,1.0,0.6,0.9,0.8,0.3,1.0,0.9,1.0,0.575,0.778,0.438,0.444,0.188
0.9,1.0,0.9,0.9,0.7,0.7,0.2,1.0,0.9,0.9,0.65,0.583,0.5,0.833,0.406
0.8,0.733,0.7,1.0,0.7,0.6,0.4,0.9,0.8,0.8,0.725,0.583,0.688,0.694,0.406
0.8,0.733,0.6,0.8,0.5,0.7,0.9,1.0,0.8,0.8,0.75,0.5,0.656,0.722,0.656
0.7,0.667,0.6,0.5,0.8,0.9,0.8,0.8,0.5,0.4,0.475,0.556,0.531,0.5,0.594
0.8,0.733,0.3,0.6,1.0,0.5,0.8,1.0,0.9,0.8,0.75,0.778,0.625,0.694,0.594
0.8,0.867,1.0,1.0,0.8,0.4,0.3,0.7,0.6,0.5,0.65,0.556,0.562,0.611,0.25
1.0,0.933,0.9,0.8,0.8,0.5,0.6,0.6,0.9,1.0,0.6,0.722,0.5,0.611,0.312
1.0,0.333,1.0,1.0,0.9,0.5,1.0,1.0,0.7,1.0,0.525,0.778,0.438,0.667,0.25
0.9,0.8,0.6,1.0,0.7,0.8,0.2,0.7,0.6,1.0,0.575,0.5,0.625,0.75,0.562
0.9,0.8,0.9,0.8,0.8,0.8,0.8,1.0,1.0,0.9,0.65,0.722,0.594,0.694,0.312
0.9,0.733,0.9,0.9,0.5,0.1,0.1,0.4,0.5,0.4,0.7,0.361,0.594,0.556,0.438
1.0,0.933,1.0,0.9,0.9,0.8,0.9,1.0,0.9,0.8,0.725,0.611,0.5,0.611,0.5
1.0,1.0,0.9,0.7,0.9,0.8,0.2,0.7,0.7,0.6,0.65,0.75,0.594,0.639,0.562
0.9,0.733,1.0,0.7,1.0,0.4,0.1,0.7,0.9,0.8,0.775,0.722,0.625,0.806,0.125
0.7,0.667,1.0,0.5,1.1,1.0,1.0,1.0,0.8,0.9,0.875,0.5,0.531,0.583,0.625
1.0,0.8,1.0,0.7,0.6,0.8,0.7,1.0,1.0,1.0,0.725,0.528,0.688,0.417,0.5
0.9,0.8,1.0,0.8,1.0,0.8,0.5,0.7,1.0,0.8,0.6,0.806,0.531,0.556,0.156
0.8,0.867,0.8,0.8,0.7,0.3,0.3,0.9,0.8,0.8,0.625,0.583,0.5,0.583,0.438
0.9,0.533,1.0,0.7,1.0,1.0,0.6,1.0,1.0,1.0,0.55,0.694,0.406,0.694,0.406
0.7,0.6,0.7,0.6,0.6,0.6,0.6,0.8,0.9,0.8,0.475,0.667,0.312,0.611,0.375
0.7,0.733,0.4,0.9,0.8,0.6,0.6,0.6,0.5,0.8,0.55,0.389,0.594,0.611,0.594
0.9,1.0,0.7,1.0,1.0,0.8,0.1,0.8,0.7,0.9,0.575,0.583,0.656,0.611,0.406
1.0,0.733,0.6,0.7,0.9,0.6,0.1,0.9,0.8,0.8,0.6,0.667,0.438,0.833,0.562
0.6,0.867,0.8,0.9,0.7,0.3,0.3,0.5,0.5,0.9,0.775,0.806,0.562,0.667,0.312
0.9,0.6,0.9,0.6,0.5,0.5,0.7,0.5,0.8,0.9,0.5,0.583,0.375,0.667,0.625
0.7,0.8,0.4,0.6,0.2,0.6,0.2,0.9,0.8,0.5,0.4,0.361,0.531,0.667,0.344
1.0,0.667,1.0,1.0,1.0,0.3,0.8,1.0,0.5,1.0,0.8,0.361,0.688,0.833,0.781
0.8,0.933,0.8,1.0,0.8,0.3,0.3,0.5,0.2,0.3,0.65,0.5,0.375,0.639,0.781
0.9,0.667,0.8,0.7,1.0,1.0,0.7,1.0,0.5,0.3,0.65,0.444,0.688,0.556,0.531
0.9,0.8,0.6,0.6,0.8,0.5,0.7,0.8,0.7,0.7,0.7,0.667,0.5,0.778,0.281
0.7,0.733,0.8,0.8,0.9,0.4,0.6,0.8,0.7,0.9,0.6,0.556,0.531,0.556,0.375
0.7,0.8,0.7,0.8,1.0,0.3,0.4,1.0,1.0,1.0,0.575,0.917,0.375,0.472,0.281
0.8,0.8,0.9,0.7,0.8,0.7,0.6,0.8,0.6,1.0,0.625,0.361,0.531,0.694,0.5
1.0,0.867,1.0,1.0,0.9,0.9,0.6,0.8,0.8,0.9,0.675,0.806,0.562,0.75,0.25
0.9,0.667,0.7,0.6,1.0,0.9,1.0,1.0,0.6,0.6,0.55,0.361,0.5,0.639,0.469
0.7,0.867,0.6,0.7,0.8,0.9,0.6,1.0,0.9,0.9,0.45,0.694,0.438,0.528,0.375
0.8,0.733,0.9,0.9,0.5,0.5,0.3,1.0,0.7,0.8,0.55,0.528,0.5,0.472,0.406
0.8,0.8,0.8,0.8,0.7,0.6,0.4,1.0,0.8,0.9,0.625,0.75,0.5,0.722,0.531
1.0,1.0,0.8,0.7,0.7,1.0,0.8,1.0,1.0,0.9,0.7,0.778,0.5,0.611,0.344
0.9,0.8,1.0,1.0,1.0,0.9,0.7,0.8,0.9,0.8,0.675,0.806,0.594,0.75,0.312
0.9,0.867,1.0,1.0,0.8,0.8,0.5,0.9,0.8,0.8,0.675,0.75,0.594,0.611,0.344
0.8,0.867,0.9,0.9,0.6,0.9,0.3,0.8,0.9,0.8,0.625,0.583,0.5,0.667,0.438
0.8,0.933,1.0,0.9,1.0,1.0,0.7,0.6,0.9,0.8,0.8,0.611,0.688,0.667,0.531
0.8,0.867,0.6,0.5,0.8,0.3,0.4,0.9,0.6,0.8,0.675,0.722,0.438,0.611,0.281
0.8,0.467,0.8,0.6,0.6,0.6,0.4,1.0,0.4,0.9,0.725,0.75,0.5,0.639,0.281
0.5,0.6,0.8,0.6,0.5,0.8,0.2,1.0,0.8,1.0,0.625,0.694,0.562,0.639,0.375
0.8,0.867,0.4,0.6,0.2,0.5,0.5,0.7,0.7,0.6,0.5,0.389,0.281,0.528,0.188
0.9,0.867,1.0,0.9,0.6,1.0,0.7,0.7,1.0,0.9,0.375,0.5,0.406,0.5,0.656
0.8,0.867,1.0,0.8,0.5,0.5,0.8,0.9,0.9,0.8,0.725,0.639,0.5,0.611,0.25
0.5,0.933,0.5,0.6,0.7,0.8,0.4,0.7,0.2,0.6,0.725,0.556,0.531,0.722,0.406
0.9,0.867,1.0,0.9,1.0,0.7,0.7,1.0,1.0,0.9,0.65,0.722,0.469,0.75,0.375
1.0,0.867,0.9,0.4,0.8,1.0,0.1,0.9,0.5,0.5,0.75,0.528,0.656,0.639,0.5
0.8,0.6,0.6,0.8,0.4,0.8,0.4,0.7,0.8,0.9,0.6,0.5,0.469,0.556,0.469
1.0,1.0,1.0,1.0,0.9,0.8,0.7,1.0,0.9,0.9,0.65,0.194,0.438,0.528,0.531
0.8,0.533,0.5,1.0,0.9,0.6,0.1,0.4,0.0,0.6,0.5,0.194,0.312,0.667,0.812
1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,1.0,1.0,0.65,0.444,0.438,0.611,0.531
1.0,0.867,0.6,0.7,0.7,0.6,0.1,1.0,0.8,0.7,0.625,0.667,0.469,0.556,0.438
1.0,0.933,0.8,0.8,0.9,0.8,0.6,0.9,0.9,0.9,0.55,0.611,0.594,0.639,0.719
1.0,0.867,0.6,0.6,1.0,0.7,0.6,1.0,1.0,0.9,0.55,0.5,0.438,0.639,0.75
0.8,0.667,0.4,0.5,0.7,0.5,0.5,0.9,0.8,0.8,0.525,0.694,0.469,0.667,0.344
0.7,0.867,0.8,0.8,1.0,1.0,0.7,0.8,0.8,0.9,0.825,0.639,0.625,0.667,0.312
0.8,0.8,0.7,0.8,0.7,1.0,0.8,0.8,0.6,0.6,0.675,0.556,0.656,0.583,0.594
0.7,0.667,0.9,0.5,0.4,0.9,1.0,0.3,0.5,0.6,0.725,0.75,0.594,0.528,0.438
0.8,0.8,0.9,0.9,0.8,0.9,0.5,1.0,0.9,0.8,0.75,0.611,0.594,0.583,0.469
0.7,0.667,0.9,0.6,0.5,1.0,0.9,0.9,0.7,0.7,0.625,0.611,0.469,0.694,0.656
0.9,0.867,0.8,0.8,0.8,0.4,0.3,0.9,0.7,0.8,0.6,0.722,0.438,0.583,0.406
0.9,0.8,1.0,1.0,0.9,0.8,0.8,0.4,0.7,0.8,0.625,0.528,0.438,0.722,0.469
0.9,0.733,0.9,0.8,0.4,0.9,0.8,0.9,0.7,0.9,0.625,0.889,0.625,0.639,0.406
0.9,0.933,0.5,0.9,0.9,0.8,0.6,0.9,0.8,0.9,0.7,0.444,0.594,0.694,0.688
0.9,0.867,0.9,0.2,0.6,0.7,0.1,0.9,0.9,0.7,0.65,0.472,0.594,0.806,0.906
0.9,0.8,0.9,1.0,1.0,0.9,0.6,0.8,0.7,0.9,0.575,0.5,0.594,0.75,0.531
1.0,1.0,1.0,0.9,0.6,0.8,0.1,1.0,0.8,0.7,0.6,0.75,0.625,0.639,0.344
0.8,0.933,0.9,0.8,0.4,0.5,0.5,0.9,0.9,1.0,0.6,0.417,0.469,0.528,0.688
0.9,0.8,0.8,0.5,0.7,0.4,0.2,0.9,0.9,0.9,0.625,0.5,0.344,0.639,0.562
0.8,0.867,0.7,0.5,0.8,0.9,0.6,0.7,0.9,0.9,0.55,0.5,0.5,0.611,0.625
0.8,0.733,0.3,0.6,0.6,0.9,0.5,1.0,1.0,1.0,0.65,0.806,0.469,0.667,0.281
0.9,0.867,0.9,1.0,0.7,1.0,0.1,0.7,0.6,0.8,0.7,0.583,0.5,0.778,0.625
0.8,0.733,0.5,0.5,0.6,0.1,0.4,1.0,0.6,0.5,0.6,0.333,0.625,0.611,0.438
0.9,0.867,1.0,0.9,0.8,1.0,0.3,1.0,0.9,0.9,0.65,0.583,0.594,0.583,0.438
0.7,0.667,0.6,0.4,0.7,0.8,0.8,0.8,0.7,0.8,0.475,0.472,0.5,0.639,0.75
0.8,0.667,0.8,0.4,0.5,0.3,0.4,0.6,0.8,0.8,0.575,0.528,0.562,0.778,0.438
1.0,1.0,1.0,0.9,0.9,1.0,0.6,0.9,1.0,0.9,0.75,0.444,0.625,0.667,0.812
0.8,0.933,0.9,0.6,0.6,0.8,0.5,0.6,1.0,1.0,0.625,0.639,0.562,0.528,0.188
1.0,0.867,0.6,0.6,0.9,0.3,0.3,0.7,0.6,0.9,0.425,0.583,0.469,0.944,0.25
0.6,0.533,0.9,0.5,0.7,0.7,0.7,1.0,0.8,0.8,0.625,0.722,0.438,0.528,0.531
1.0,0.733,0.7,0.6,0.6,1.0,0.4,0.9,0.9,0.8,0.625,0.639,0.438,0.639,0.594
0.9,0.867,1.0,0.8,0.8,0.6,0.0,0.6,0.6,0.9,0.6,0.778,0.5,0.833,0.188
0.6,0.133,0.8,0.6,1.0,1.0,0.6,0.6,0.3,0.6,0.4,0.444,0.375,0.556,0.812
1.0,0.867,0.9,1.0,0.4,0.4,0.8,0.5,0.6,1.0,0.625,0.361,0.5,0.861,0.688
1.0,0.933,0.7,1.0,0.9,0.6,0.7,0.9,0.8,1.0,0.7,0.528,0.594,0.583,0.5
0.6,0.733,0.9,1.0,0.9,0.6,0.4,0.6,0.5,0.9,0.575,0.389,0.625,0.722,0.281
0.8,0.733,1.0,0.9,0.9,0.9,0.4,0.9,1.0,1.0,0.475,0.556,0.438,0.667,0.531
0.9,0.733,0.8,0.9,0.9,0.8,0.8,0.9,0.8,0.9,0.625,0.472,0.438,0.611,0.469
0.9,0.533,0.9,0.9,0.4,0.6,0.5,0.4,0.4,0.4,0.725,0.75,0.625,0.722,0.406
0.9,0.867,1.0,0.8,1.0,0.6,0.5,0.9,1.0,1.0,0.475,0.556,0.531,0.583,0.5
1.0,1.0,1.0,1.0,1.0,1.0,0.6,1.0,0.7,1.0,0.55,0.556,0.5,0.528,0.375
0.9,0.8,1.0,1.0,0.7,0.3,0.2,0.8,0.5,1.0,0.725,0.5,0.5,0.667,0.5
0.9,0.6,0.9,0.8,0.8,0.9,0.5,0.9,0.8,1.0,0.725,0.694,0.562,0.694,0.5
0.8,0.6,0.6,0.8,0.8,0.8,0.6,0.5,0.4,0.4,0.65,0.528,0.531,0.611,0.625
1.0,0.867,1.0,1.0,0.6,0.7,0.3,0.8,0.4,0.7,0.8,0.583,0.625,0.694,0.312
1.0,0.733,1.0,0.8,0.6,1.0,0.5,0.8,0.1,0.9,0.8,0.583,0.75,0.5,0.375
0.6,0.8,1.0,0.9,0.8,0.5,0.2,0.0,0.3,0.7,0.675,0.333,0.625,0.667,0.844
0.8,0.8,0.8,0.8,0.9,0.7,0.5,0.8,0.6,0.9,0.575,0.611,0.594,0.667,0.469
0.9,0.867,0.9,0.7,0.5,1.0,0.7,0.9,1.0,0.8,0.675,0.694,0.625,0.556,0.312
0.8,0.533,0.9,0.6,0.9,0.7,0.6,0.8,0.6,0.8,0.65,0.389,0.5,0.472,0.812
0.8,0.867,0.5,0.5,0.3,0.5,0.5,0.3,0.9,1.0,0.575,0.722,0.531,0.75,0.375
0.8,0.733,0.8,1.0,0.8,0.3,0.8,0.9,0.8,0.7,0.65,0.389,0.469,0.694,0.75
0.9,0.667,0.8,0.7,0.3,0.8,0.5,0.8,0.7,0.9,0.675,0.556,0.438,0.778,0.469
0.6,0.8,1.0,0.6,0.1,0.3,0.2,1.0,0.1,0.9,0.525,0.611,0.438,0.833,0.312
0.7,0.8,1.0,0.8,0.1,0.9,0.5,0.8,0.5,0.6,0.8,0.556,0.656,0.611,0.5
0.9,0.533,1.0,0.9,0.7,0.9,0.8,0.7,0.7,0.6,0.7,0.833,0.75,0.806,0.188
1.0,0.6,1.0,1.0,0.4,0.1,0.3,0.5,0.0,0.0,0.475,0.611,0.281,0.556,0.25
0.8,0.933,0.6,1.0,0.9,0.8,0.8,0.7,1.0,0.5,0.65,0.639,0.531,0.806,0.469
0.7,0.8,0.7,0.8,0.7,0.3,0.4,0.6,0.6,0.7,0.6,0.611,0.562,0.611,0.281
1.0,1.0,0.6,0.9,1.0,0.9,0.7,0.7,0.5,0.8,0.6,0.278,0.406,0.639,0.719
0.7,0.667,0.9,1.0,1.0,0.7,0.5,0.9,1.0,1.0,0.65,0.611,0.469,0.639,0.438
0.9,1.0,0.9,0.7,0.6,0.9,0.7,0.8,0.4,0.7,0.65,0.778,0.656,0.778,0.312
0.9,0.867,0.9,1.0,0.8,0.6,0.5,0.8,1.0,0.8,0.725,0.528,0.469,0.722,0.469
0.8,0.6,0.9,1.0,0.8,1.0,0.5,0.6,0.3,0.8,0.75,0.417,0.156,0.861,0.438
1.0,0.733,0.8,0.8,0.9,1.0,0.9,0.9,0.9,0.8,0.55,0.389,0.5,0.611,0.75
0.9,0.8,0.8,1.0,1.0,0.7,0.6,0.9,0.7,0.9,0.7,0.611,0.531,0.556,0.375
0.9,0.867,1.0,0.9,0.6,0.7,0.6,0.5,0.5,0.4,0.775,0.611,0.562,0.694,0.562
0.9,0.867,0.7,0.5,1.0,0.0,0.8,0.5,0.5,0.6,0.55,0.472,0.375,0.639,0.5
0.9,0.933,0.7,0.6,0.5,0.6,0.3,0.7,0.8,1.0,0.575,0.667,0.531,0.694,0.438
0.8,0.8,0.7,0.7,0.8,1.0,0.3,1.0,0.7,0.7,0.7,0.528,0.625,0.639,0.562
0.8,0.933,1.0,1.0,1.0,0.8,0.5,0.4,1.0,0.9,0.65,0.472,0.406,0.778,0.75
0.6,0.8,1.0,0.9,0.6,0.9,0.9,0.9,0.8,0.9,0.675,0.444,0.5,0.556,0.594
0.4,0.267,0.9,0.6,0.4,0.4,0.4,0.9,0.1,0.1,0.675,0.472,0.469,0.361,0.656
0.7,0.533,0.6,0.8,0.6,0.9,0.4,0.9,0.3,0.6,0.6,0.5,0.531,0.417,0.781
1.0,0.933,1.0,1.0,0.7,0.5,0.2,0.4,0.0,0.4,0.725,0.361,0.75,0.611,0.5
1.0,0.533,0.3,0.3,0.5,0.9,1.0,0.8,0.6,0.8,0.45,0.306,0.344,0.722,0.875
1.0,0.733,0.9,0.7,0.7,0.5,1.0,0.6,0.4,0.4,0.7,0.5,0.375,0.417,0.594
0.9,0.933,0.9,0.7,0.8,1.0,0.8,0.8,0.9,0.7,0.7,0.611,0.438,0.611,0.469
0.9,0.667,0.9,0.9,0.8,0.4,0.3,0.8,0.6,0.6,0.55,0.528,0.469,0.694,0.438
1.0,0.733,0.8,0.8,0.9,0.9,0.4,0.8,0.7,0.7,0.625,0.694,0.594,0.694,0.25
0.9,0.933,0.8,0.7,0.5,0.7,0.5,1.0,0.4,0.7,0.775,0.583,0.562,0.75,0.5
0.6,0.867,1.0,0.6,0.8,0.6,0.6,0.9,1.0,0.7,0.725,0.583,0.406,0.556,0.5
0.8,0.867,1.0,0.8,0.3,1.0,0.4,0.8,0.8,0.9,0.575,0.528,0.562,0.778,0.5
0.7,0.933,1.0,0.8,0.2,0.9,0.4,0.8,0.7,0.6,0.55,0.583,0.469,0.611,0.5
